Terminal,E10 ULP,ULP,PULP,Hi Octane 98,,ULSD,PULSD
Brisbane,2.6954,2.5831,2.7714,2.8207,,2.9463,
Sydney,2.6193,2.6417,2.5475,2.8416,,3.0105,3.1100
Melbourne,2.0455,2.0959,2.1687,2.2673,,2.4751,2.4839
Birkenhead,,2.1018,2.1438,2.2451,,2.4649,2.4770
Gladstone,,,,,,,
Mackay,2.0965,2.6462,2.1926,,,2.9380,
Newcastle,2.6483,2.6655,2.7443,,,2.9834,3.0032
,,,,,,,
Brisbane,2.3653,2.2530,2.4416,2.4908,,2.6515,
Sydney,2.8326,2.8263,2.3284,3.0734,,3.3536,
Melbourne,2.1968,2.2520,2.3276,2.4262,,2.6198,2.6286
Birkenhead,,2.2580,2.3027,2.4038,,2.6095,2.6216
Gladstone,,2.8555,2.9151,,,3.2824,
Mackay,2.2479,2.8238,2.3520,,,3.2501,
Newcastle,2.7926,2.8100,2.9219,,,3.2900,3.3811
Brisbane,2.3652,2.2530,2.4416,2.4907,,2.6515,
Sydney,2.8995,2.8945,2.3284,3.1537,,3.4780,2.8754
Melbourne,2.2524,2.3136,2.3924,2.4908,,2.7188,2.7276
Birkenhead,,2.3195,2.3678,2.4686,,2.7081,2.7202
Gladstone,,2.9020,2.9632,,,3.3529,
Mackay,2.3037,2.8702,2.4173,,,3.3206,
Newcastle,2.2634,2.3047,2.4030,,,2.7008,2.7096
Brisbane,2.3652,2.2529,2.4416,2.4907,,2.6845,
Sydney,3.0228,3.0316,2.7979,3.2942,,3.5500,
Melbourne,2.3298,2.4003,2.4809,2.5792,,2.8212,
Birkenhead,,2.4061,2.4563,2.5570,,2.8103,
Gladstone,,2.9871,3.0493,,,3.4041,
Mackay,2.3816,2.9553,2.5064,,,3.3717,
Newcastle,2.3410,2.3915,2.4916,,,2.8029,
Brisbane,2.3653,2.2782,2.4816,2.5308,,2.7153,
Sydney,3.0257,3.0323,2.8092,3.2876,,3.5449,
Melbourne,2.3830,2.4644,2.5472,2.6454,,2.8755,
Birkenhead,,2.4704,2.5225,2.6232,,2.8645,
Gladstone,,2.9829,3.0446,,,3.3983,
Mackay,2.4354,2.9511,2.5728,,,3.3659,
Newcastle,2.3945,2.4559,2.5578,,,2.8571,
Brisbane,2.4004,2.3134,2.5253,2.5744,,2.7736,
Sydney,3.0379,3.0447,2.8586,3.3036,,3.6451,
Melbourne,2.4595,2.5134,2.5982,2.6964,,2.9487,
Birkenhead,,2.5194,2.5736,2.6742,,2.9373,
Gladstone,,2.9891,3.0503,,,3.4372,
Mackay,2.4959,2.9574,2.6242,,,3.4048,
Newcastle,2.4710,2.5050,2.6091,,,2.9300,
Brisbane,2.3965,2.3315,2.5297,2.5786,,2.8086,
Sydney,3.2674,3.2863,,3.4921,,3.9100,
Melbourne,,,,,,,
Birkenhead,,,,,,,
Gladstone,,3.0748,3.1365,,,3.5388,
Mackay,,,,,,,
Newcastle,2.4523,2.4867,2.5911,,,2.9321,
Brisbane,2.4422,2.3772,2.5841,2.6331,,2.8970,
Sydney,2.5108,2.4871,,2.7822,,3.0594,
Gladstone,,3.0129,3.0742,,,3.4802,
Newcastle,2.4517,2.4914,2.5960,,,2.9711,
