date,state,location,fuel_type,price_cpl
2026-05-14,NSW,Newcastle,diesel,196.9
2026-05-14,NSW,Newcastle,e10,169.5
2026-05-14,NSW,Newcastle,p95,176.7
2026-05-14,NSW,Newcastle,prediesel,197.8
2026-05-14,NSW,Newcastle,ulp91,169.1
2026-05-14,NSW,Sydney,diesel,194.8
2026-05-14,NSW,Sydney,e10,167.5
2026-05-14,NSW,Sydney,p95,186.7
2026-05-14,NSW,Sydney,p98,183.5
2026-05-14,NSW,Sydney,prediesel,207.7
2026-05-14,NSW,Sydney,ulp91,167.4
2026-05-14,QLD,Brisbane,diesel,205.9
2026-05-14,QLD,Brisbane,e10,188.3
2026-05-14,QLD,Brisbane,p95,195.2
2026-05-14,QLD,Brisbane,p98,200.0
2026-05-14,QLD,Brisbane,ulp91,185.7
2026-05-14,QLD,Gladstone,diesel,206.0
2026-05-14,QLD,Gladstone,p95,185.7
2026-05-14,QLD,Gladstone,ulp91,179.2
2026-05-14,QLD,Mackay,diesel,199.9
2026-05-14,QLD,Mackay,e10,173.4
2026-05-14,QLD,Mackay,p95,181.0
2026-05-14,QLD,Mackay,ulp91,173.9
2026-05-14,SA,Birkenhead,diesel,196.4
2026-05-14,SA,Birkenhead,p95,175.6
2026-05-14,SA,Birkenhead,p98,183.0
2026-05-14,SA,Birkenhead,prediesel,197.6
2026-05-14,SA,Birkenhead,ulp91,168.9
2026-05-14,VIC,Melbourne,diesel,195.1
2026-05-14,VIC,Melbourne,e10,169.7
2026-05-14,VIC,Melbourne,p95,175.5
2026-05-14,VIC,Melbourne,p98,182.6
2026-05-14,VIC,Melbourne,prediesel,197.5
2026-05-14,VIC,Melbourne,ulp91,169.0
2026-05-15,NSW,Newcastle,diesel,197.3
2026-05-15,NSW,Newcastle,e10,169.4
2026-05-15,NSW,Newcastle,p95,176.6
2026-05-15,NSW,Newcastle,prediesel,198.2
2026-05-15,NSW,Newcastle,ulp91,169.0
2026-05-15,NSW,Sydney,diesel,195.1
2026-05-15,NSW,Sydney,e10,167.3
2026-05-15,NSW,Sydney,p95,186.6
2026-05-15,NSW,Sydney,p98,183.4
2026-05-15,NSW,Sydney,prediesel,208.1
2026-05-15,NSW,Sydney,ulp91,167.2
2026-05-15,QLD,Brisbane,diesel,205.6
2026-05-15,QLD,Brisbane,e10,187.6
2026-05-15,QLD,Brisbane,p95,195.1
2026-05-15,QLD,Brisbane,p98,199.9
2026-05-15,QLD,Brisbane,ulp91,185.0
2026-05-15,QLD,Gladstone,diesel,206.4
2026-05-15,QLD,Gladstone,p95,185.7
2026-05-15,QLD,Gladstone,ulp91,179.1
2026-05-15,QLD,Mackay,diesel,200.3
2026-05-15,QLD,Mackay,e10,173.2
2026-05-15,QLD,Mackay,p95,180.9
2026-05-15,QLD,Mackay,ulp91,173.8
2026-05-15,SA,Birkenhead,diesel,196.7
2026-05-15,SA,Birkenhead,p95,175.5
2026-05-15,SA,Birkenhead,p98,182.9
2026-05-15,SA,Birkenhead,prediesel,198.0
2026-05-15,SA,Birkenhead,ulp91,168.8
2026-05-15,VIC,Melbourne,diesel,195.4
2026-05-15,VIC,Melbourne,e10,169.6
2026-05-15,VIC,Melbourne,p95,175.4
2026-05-15,VIC,Melbourne,p98,182.6
2026-05-15,VIC,Melbourne,prediesel,196.3
2026-05-15,VIC,Melbourne,ulp91,168.8
